movie_id,imdb_id,tmdb_id,rating,average_rating,title
86898,0478304,8967,3.0,3.33473,The Tree of Life (2011)
87232,1270798,49538,3.5,3.74857,X-Men: First Class (2011)
88125,1201607,12445,4.0,3.91449,Harry Potter and the Deathly Hallows: Part 2 (2011)
88129,0780504,64690,4.5,3.82475,Drive (2011)
88810,1454029,50014,3.5,3.91227,The Help (2011)
89118,1189073,63311,3.5,3.75445,The Skin I Live In (2011)
89492,1210166,60308,3.5,3.86186,Moneyball (2011)
89582,1632547,68341,2.5,3.42308,Cold Fish (2010)
89745,0848228,24428,3.5,3.79247,The Avengers (2012)
89774,1291584,59440,3.5,3.90294,Warrior (2011)
89837,1788391,74725,2.5,3.3125,Kill List (2011)
89864,1306980,40807,3.5,3.7305,50/50 (2011)
90057,1675192,64720,3.0,3.68744,Take Shelter (2011)
90374,1441326,50837,3.5,3.52131,Martha Marcy May Marlene (2011)
91500,1392170,70160,2.0,3.52916,The Hunger Games (2012)
91529,1345836,49026,3.5,3.97831,The Dark Knight Rises (2012)
91566,0208178,104465,4.0,3.125,Moonlight Whispers (1999)
91617,0310313,99642,1.0,3.25,A New Life (2002)
91658,1568346,65754,4.0,3.81439,The Girl with the Dragon Tattoo (2011)
92259,1675434,77338,3.0,4.13436,The Intouchables (2011)
93510,1232829,64688,3.5,3.59646,21 Jump Street (2012)
93838,1899353,94329,4.0,3.78289,The Raid (2011)
93840,1259521,22970,4.0,3.62163,The Cabin in the Woods (2012)
94126,1821593,63310,3.5,3.6087,Bullhead (2011)
94558,1534085,50037,4.0,3.21203,Beyond the Black Rainbow (2010)
94959,1748122,83666,2.5,3.96826,Moonrise Kingdom (2012)
96079,1074638,37724,3.5,3.73347,Skyfall (2012)
96610,1276104,59967,3.5,3.65204,Looper (2012)
96728,1560747,68722,3.0,3.56095,The Master (2012)
96821,1659337,84892,3.0,3.84913,The Perks of Being a Wallflower (2012)
96829,2106476,103663,4.0,4.0642,The Hunt (2012)
96832,2076220,103328,2.0,3.64724,Holy Motors (2012)
97188,1922777,82507,3.5,3.53977,Sinister (2012)
97304,1024648,68734,3.5,3.77805,Argo (2012)
97306,1931533,86838,3.5,3.64403,Seven Psychopaths (2012)
98061,1900893,98631,1.0,3.03704,Himizu (2011)
98607,1483797,71883,3.5,3.76683,Redline (2009)
98809,0903624,49051,3.5,3.67764,The Hobbit: An Unexpected Journey (2012)
99114,1853728,68718,4.0,4.00489,Django Unchained (2012)
100060,1937339,77117,2.5,3.58333,Sunny (2011)
101088,1682180,86825,3.0,3.4307,Stoker (2013)
101285,2101441,122081,4.0,2.94701,Spring Breakers (2013)
101525,1817273,97367,3.5,3.65376,The Place Beyond the Pines (2013)
102123,1245492,109414,3.5,3.27583,This Is the End (2013)
102194,1935179,103731,3.5,3.66431,Mud (2013)
102682,1727516,83900,3.0,2.86364,Livid (2011)
102684,1602613,77987,4.0,3.13418,Only God Forgives (2013)
103137,2132285,96936,2.5,2.83228,The Bling Ring (2013)
103249,0816711,72190,2.5,3.282,World War Z (2013)
103341,1213663,107985,3.5,3.53891,The World's End (2013)
103688,1457767,138843,3.5,3.67316,The Conjuring (2013)
104457,1853739,83899,2.5,3.40202,You're Next (2011)
104879,1392214,146233,4.0,3.97664,Prisoners (2013)
104908,2226417,91586,3.5,3.45449,Insidious: Chapter 2 (2013)
105028,1754367,103689,2.5,3.41463,Post Tenebras Lux (2012)
105355,2278871,152584,3.5,3.80612,Blue Is the Warmest Color (2013)
105593,1450321,85889,3.5,3.65083,Filth (2013)
106489,1170358,57158,3.0,3.64815,The Hobbit: The Desolation of Smaug (2013)
106648,1743724,80662,3.0,3.51562,Guilty of Romance (2011)
106766,2042568,86829,2.5,3.7126,Inside Llewyn Davis (2013)
106782,0993846,106646,4.0,3.88062,The Wolf of Wall Street (2013)
106920,1798709,152601,4.5,3.8867,Her (2013)
107406,1706620,110415,4.0,3.48102,Snowpiercer (2013)
107649,1954315,186929,3.5,3.60526,Borgman (2013)
107771,1714915,152603,3.5,3.72606,Only Lovers Left Alive (2013)
108729,2316411,181886,4.0,3.58911,Enemy (2013)
109374,2278388,120467,3.0,4.01679,The Grand Budapest Hotel (2014)
109487,0816692,157336,3.5,4.1004,Interstellar (2014)
109848,1441395,97370,4.0,3.34342,Under the Skin (2014)
109968,2409302,134350,5.0,3.85326,Why Don't You Play in Hell? (2013)
110102,1843866,100402,2.5,3.70865,Captain America: The Winter Soldier (2014)
110501,2265171,180299,3.5,3.75377,The Raid 2 (2014)
110591,2388715,157547,3.5,3.38967,Oculus (2014)
